Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units
cTuning,available,closed,"edge","arjun-orin (auto detected)",arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config,resnet50,resnet,MultiStream,2.566417,76.026,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",closed/cTuning/results/arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config/resnet50/multistream,"","Ubuntu 20.04 (linux-5.10.65-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,Latency (ms)
cTuning,available,closed,"edge","arjun-orin (auto detected)",arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config,resnet50,resnet,MultiStream,132.98097889473632,76.026,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",closed/cTuning/results/arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config/resnet50/multistream,"","Ubuntu 20.04 (linux-5.10.65-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,millijoules
cTuning,available,closed,"edge","arjun-orin (auto detected)",arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config,resnet50,resnet,SingleStream,0.720752,76.026,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",closed/cTuning/results/arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config/resnet50/singlestream,"","Ubuntu 20.04 (linux-5.10.65-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,Latency (ms)
cTuning,available,closed,"edge","arjun-orin (auto detected)",arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config,resnet50,resnet,SingleStream,29.057550493059743,76.026,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",closed/cTuning/results/arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config/resnet50/singlestream,"","Ubuntu 20.04 (linux-5.10.65-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,millijoules
cTuning,available,closed,"edge","arjun-orin (auto detected)",arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config,resnet50,resnet,Offline,4697.31,76.030,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",closed/cTuning/results/arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config/resnet50/offline,"","Ubuntu 20.04 (linux-5.10.65-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,Samples/s
cTuning,available,closed,"edge","arjun-orin (auto detected)",arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config,resnet50,resnet,Offline,70.22577531645575,76.030,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",closed/cTuning/results/arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config/resnet50/offline,"","Ubuntu 20.04 (linux-5.10.65-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,Watts
cTuning,available,closed,"edge","arjun-orin (auto detected)",arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config,bert-99,bert-99,SingleStream,7.795544,90.4400381640464,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",closed/cTuning/results/arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config/bert-99/singlestream,"","Ubuntu 20.04 (linux-5.10.65-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,Latency (ms)
cTuning,available,closed,"edge","arjun-orin (auto detected)",arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config,bert-99,bert-99,SingleStream,307.01072013158847,90.4400381640464,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",closed/cTuning/results/arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config/bert-99/singlestream,"","Ubuntu 20.04 (linux-5.10.65-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,millijoules
cTuning,available,closed,"edge","arjun-orin (auto detected)",arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config,bert-99,bert-99,Offline,449.959,90.44111119598546,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",closed/cTuning/results/arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config/bert-99/offline,"","Ubuntu 20.04 (linux-5.10.65-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,Samples/s
cTuning,available,closed,"edge","arjun-orin (auto detected)",arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config,bert-99,bert-99,Offline,76.95226006191946,90.44111119598546,1,"ARMv8 Processor rev 1 (v8l)",3,4,"N/A","0",closed/cTuning/results/arjun_orin-nvidia_original-gpu-tensorrt-v8.5.2.2-default_config/bert-99/offline,"","Ubuntu 20.04 (linux-5.10.65-tegra-glibc2.31)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,Watts
cTuning,available,closed,"edge","phoenix-Amd-Am5 (auto detected)",phoenix_Amd_Am5-reference-gpu-onnxruntime-v1.14.0-default_config,retinanet,retinanet,MultiStream,145.877896,37.575,1,"AMD Ryzen 9 7950X 16-Core Processor",1,16,"N/A","0",closed/cTuning/results/phoenix_Amd_Am5-reference-gpu-onnxruntime-v1.14.0-default_config/retinanet/multistream,"","Ubuntu 22.04 (linux-5.19.0-32-generic-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,1,True,Latency (ms)
cTuning,available,closed,"edge","phoenix-Amd-Am5 (auto detected)",phoenix_Amd_Am5-reference-gpu-onnxruntime-v1.14.0-default_config,retinanet,retinanet,MultiStream,60426.96196178095,37.575,1,"AMD Ryzen 9 7950X 16-Core Processor",1,16,"N/A","0",closed/cTuning/results/phoenix_Amd_Am5-reference-gpu-onnxruntime-v1.14.0-default_config/retinanet/multistream,"","Ubuntu 22.04 (linux-5.19.0-32-generic-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,1,True,millijoules
cTuning,available,closed,"edge","phoenix-Amd-Am5 (auto detected)",phoenix_Amd_Am5-reference-gpu-onnxruntime-v1.14.0-default_config,retinanet,retinanet,SingleStream,16.587306,37.575,1,"AMD Ryzen 9 7950X 16-Core Processor",1,16,"N/A","0",closed/cTuning/results/phoenix_Amd_Am5-reference-gpu-onnxruntime-v1.14.0-default_config/retinanet/singlestream,"","Ubuntu 22.04 (linux-5.19.0-32-generic-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,Latency (ms)
cTuning,available,closed,"edge","phoenix-Amd-Am5 (auto detected)",phoenix_Amd_Am5-reference-gpu-onnxruntime-v1.14.0-default_config,retinanet,retinanet,SingleStream,7553.370245222619,37.575,1,"AMD Ryzen 9 7950X 16-Core Processor",1,16,"N/A","0",closed/cTuning/results/phoenix_Amd_Am5-reference-gpu-onnxruntime-v1.14.0-default_config/retinanet/singlestream,"","Ubuntu 22.04 (linux-5.19.0-32-generic-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,millijoules
cTuning,available,closed,"edge","phoenix-Amd-Am5 (auto detected)",phoenix_Amd_Am5-reference-gpu-onnxruntime-v1.14.0-default_config,retinanet,retinanet,Offline,64.9423,37.575,1,"AMD Ryzen 9 7950X 16-Core Processor",1,16,"N/A","0",closed/cTuning/results/phoenix_Amd_Am5-reference-gpu-onnxruntime-v1.14.0-default_config/retinanet/offline,"","Ubuntu 22.04 (linux-5.19.0-32-generic-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,1,True,Samples/s
cTuning,available,closed,"edge","phoenix-Amd-Am5 (auto detected)",phoenix_Amd_Am5-reference-gpu-onnxruntime-v1.14.0-default_config,retinanet,retinanet,Offline,490.28409448818894,37.575,1,"AMD Ryzen 9 7950X 16-Core Processor",1,16,"N/A","0",closed/cTuning/results/phoenix_Amd_Am5-reference-gpu-onnxruntime-v1.14.0-default_config/retinanet/offline,"","Ubuntu 22.04 (linux-5.19.0-32-generic-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,1,True,Watts
cTuning,available,closed,"datacenter","ip-172-31-4-77 (auto detected)",ip_172_31_4_77-nvidia_original-gpu-tensorrt-vdefault-default_config,resnet50,resnet,Server,3298.77,76.034,1,"Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz",1,2,"Tesla T4","1",closed/cTuning/results/ip_172_31_4_77-nvidia_original-gpu-tensorrt-vdefault-default_config/resnet50/server,"","Ubuntu 22.04 (linux-5.15.0-1028-aws-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,False,Queries/s
cTuning,available,closed,"datacenter","ip-172-31-4-77 (auto detected)",ip_172_31_4_77-nvidia_original-gpu-tensorrt-vdefault-default_config,resnet50,resnet,Offline,4078.45,76.034,1,"Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz",1,2,"Tesla T4","1",closed/cTuning/results/ip_172_31_4_77-nvidia_original-gpu-tensorrt-vdefault-default_config/resnet50/offline,"","Ubuntu 22.04 (linux-5.15.0-1028-aws-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,False,Samples/s
cTuning,available,closed,"datacenter","ip-172-31-4-77 (auto detected)",ip_172_31_4_77-nvidia_original-gpu-tensorrt-vdefault-default_config,bert-99,bert-99,Server,249.841,90.2039469599852,1,"Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz",1,2,"Tesla T4","1",closed/cTuning/results/ip_172_31_4_77-nvidia_original-gpu-tensorrt-vdefault-default_config/bert-99/server,"","Ubuntu 22.04 (linux-5.15.0-1028-aws-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,False,Queries/s
cTuning,available,closed,"datacenter","ip-172-31-4-77 (auto detected)",ip_172_31_4_77-nvidia_original-gpu-tensorrt-vdefault-default_config,bert-99,bert-99,Offline,317.058,90.24821866958023,1,"Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz",1,2,"Tesla T4","1",closed/cTuning/results/ip_172_31_4_77-nvidia_original-gpu-tensorrt-vdefault-default_config/bert-99/offline,"","Ubuntu 22.04 (linux-5.15.0-1028-aws-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,False,Samples/s
cTuning,available,closed,"edge","phoenix-Amd-Am5 (auto detected)",phoenix_Amd_Am5-nvidia_original-gpu-tensorrt-vdefault-default_config,resnet50,resnet,MultiStream,0.432412,76.082,1,"AMD Ryzen 9 7950X 16-Core Processor",1,16,"N/A","0",closed/cTuning/results/phoenix_Amd_Am5-nvidia_original-gpu-tensorrt-vdefault-default_config/resnet50/multistream,"","Ubuntu 22.04 (linux-5.19.0-32-generic-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,Latency (ms)
cTuning,available,closed,"edge","phoenix-Amd-Am5 (auto detected)",phoenix_Amd_Am5-nvidia_original-gpu-tensorrt-vdefault-default_config,resnet50,resnet,MultiStream,192.3483534349882,76.082,1,"AMD Ryzen 9 7950X 16-Core Processor",1,16,"N/A","0",closed/cTuning/results/phoenix_Amd_Am5-nvidia_original-gpu-tensorrt-vdefault-default_config/resnet50/multistream,"","Ubuntu 22.04 (linux-5.19.0-32-generic-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,millijoules
cTuning,available,closed,"edge","phoenix-Amd-Am5 (auto detected)",phoenix_Amd_Am5-nvidia_original-gpu-tensorrt-vdefault-default_config,resnet50,resnet,SingleStream,0.226126,76.082,1,"AMD Ryzen 9 7950X 16-Core Processor",1,16,"N/A","0",closed/cTuning/results/phoenix_Amd_Am5-nvidia_original-gpu-tensorrt-vdefault-default_config/resnet50/singlestream,"","Ubuntu 22.04 (linux-5.19.0-32-generic-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,Latency (ms)
cTuning,available,closed,"edge","phoenix-Amd-Am5 (auto detected)",phoenix_Amd_Am5-nvidia_original-gpu-tensorrt-vdefault-default_config,resnet50,resnet,SingleStream,72.71919233181029,76.082,1,"AMD Ryzen 9 7950X 16-Core Processor",1,16,"N/A","0",closed/cTuning/results/phoenix_Amd_Am5-nvidia_original-gpu-tensorrt-vdefault-default_config/resnet50/singlestream,"","Ubuntu 22.04 (linux-5.19.0-32-generic-glibc2.35)","Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.0,0,True,millijoules
